Name1,Name2,Set,Card_type1,Card_type2,Mana_Cost1,Mana_Cost2,Mana_Value1,Mana_Value2,Color,Rarity,Price
+2 Mace,,AFR,Artifact,,1W,,2.0,0.0,W,C,0.01
Aarakocra Sneak,,CLB,Creature,,3U,,4.0,0.0,U,C,0.1
Abaddon the Despoiler,,40K,Creature,,2UBR,,5.0,0.0,UBR,M,0.7
Abandoned Outpost,,ODY,Land,,,,0.0,0.0,W,C,0.11
Abandoned Sarcophagus,,C20,Artifact,,3,,3.0,0.0,C,R,0.09
Abandon Hope,,TMP,Sorcery,,X1B,,2.0,0.0,B,U,0.22
Abandon Reason,,EMN,Instant,,2R,,3.0,0.0,R,U,0.12
Abandon the Post,,MID,Sorcery,,1R,,2.0,0.0,R,C,0.01
Abattoir Ghoul,,DDQ,Creature,,3B,,4.0,0.0,B,U,0.07
Abbey Gargoyles,,ME2,Creature,,2WWW,,5.0,0.0,W,U,0.15
Abbey Griffin,,ISD,Creature,,3W,,4.0,0.0,W,C,0.07
Abbey Matron,,HML,Creature,,2W,,3.0,0.0,W,C,0.09
Abbot of Keral Keep,,2X2,Creature,,1R,,2.0,0.0,R,R,0.21
"Abdel Adrian, Gorion's Ward",,CLB,Creature,,4W,,5.0,0.0,W,U,0.05
Abduction,,6ED,Enchantment,,2UU,,4.0,0.0,U,U,0.24
Aberrant,,40K,Creature,,X1G,,2.0,0.0,G,U,0.23
Aberrant Mind Sorcerer,,AFR,Creature,,4U,,5.0,0.0,U,U,0.03
Aberrant Researcher,Perfected Form,SOI,Creature,Creature,3U,,4.0,0.0,U,U,0.08
Abeyance,,WTH,Instant,,1W,,2.0,0.0,W,R,3.29
Abhorrent Overlord,,THS,Creature,,5BB,,7.0,0.0,B,R,0.45
Abiding Grace,,MH2,Enchantment,,2W,,3.0,0.0,W,U,0.09
Abjure,,WTH,Instant,,U,,1.0,0.0,U,C,0.46
Abnormal Endurance,,M19,Instant,,1B,,2.0,0.0,B,C,0.08
